Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
6,2.0,8,32,7.0,0.5000532269477844,16779002,33554432,0.4998833200369952,0.5002231338585736
6,2.0,10,32,2.0,0.010159283876419067,340889,33554432,0.01005144350999593,0.010267124242842205
6,2.0,10,32,3.0,0.0014178752899169922,47576,33554432,0.0013858920119825028,0.0014498585678514816
6,2.0,10,32,4.0,0.0015027225017547607,50423,33554432,0.0014723261360821932,0.0015331188674273283
6,2.0,10,32,5.0,0.011170655488967896,374825,33554432,0.011099119765024187,0.011242191212911604
6,2.0,10,32,6.0,0.041172534227371216,1381521,33554432,0.04107369676465124,0.041271371690091194
6,2.0,10,32,7.0,0.07178136706352234,2408583,33554432,0.07168629801476077,0.0718764361122839
6,2.0,12,24,4.0,5.480647087097168e-05,1839,33554432,4.979863219574484e-05,5.981430954619852e-05
6,2.0,12,24,4.5,1.0311603546142578e-05,692,67108864,8.763192672545198e-06,1.1860014419739959e-05
6,2.0,12,24,5.0,1.5695889790852864e-06,316,201326592,1.2400915091453303e-06,1.8990864490252425e-06
6,2.0,12,24,5.5,2.284844716389974e-07,46,201326592,1.2454321620266798e-07,3.3242572707532683e-07
6,2.0,12,32,4.0,2.79843807220459e-05,939,33554432,2.3887065105765055e-05,3.208169633832674e-05
6,2.0,12,32,4.5,4.450480143229167e-06,448,100663296,3.565042409262571e-06,5.335917877195762e-06
6,2.0,12,32,5.0,5.364418029785156e-07,108,201326592,3.369385395257826e-07,7.359450664312486e-07
6,2.0,12,32,5.5,1.6887982686360678e-07,34,201326592,4.806837503147682e-08,2.8969127869573674e-07
6,2.0,12,48,4.0,1.8149614334106445e-05,609,33554432,1.4792146198901096e-05,2.1507082469311795e-05
6,2.0,12,48,4.5,4.038214683532715e-06,542,134217728,3.2879232897669176e-06,4.788506077298512e-06
6,2.0,12,48,5.0,5.31474749247233e-07,107,201326592,3.298447250285077e-07,7.331047734659584e-07
6,2.0,12,48,5.5,9.934107462565105e-08,20,201326592,1.0188291363602665e-09,1.9766332011494183e-07
6,2.0,12,64,4.0,1.817941665649414e-05,610,33554432,1.4887134045534631e-05,2.1471699267453652e-05
6,2.0,12,64,4.5,3.643333911895752e-06,489,134217728,2.929541568354985e-06,4.3571262554365195e-06
6,2.0,12,64,5.0,8.742014567057291e-07,176,201326592,5.981808527520478e-07,1.1502220606594105e-06
6,2.0,12,64,5.5,5.960464477539063e-08,12,201326592,0.0,1.311448148849339e-07
6,2.5,12,24,4.0,4.985928535461426e-05,1673,33554432,4.51514432305783e-05,5.4567127478650216e-05
6,2.5,12,24,4.5,8.225440979003906e-06,552,67108864,6.837793968092683e-06,9.61308798991513e-06
6,2.5,12,24,5.0,1.062949498494466e-06,214,201326592,8.136445862330284e-07,1.3122544107559038e-06
6,2.5,12,24,5.5,1.241763432820638e-07,25,201326592,5.0677356707257706e-08,1.9767532985686992e-07
6,2.5,12,32,4.0,2.3871660232543945e-05,801,33554432,2.018215881927371e-05,2.7561161645814182e-05
6,2.5,12,32,4.5,4.410743713378906e-06,444,100663296,3.502054158079194e-06,5.3194332686786185e-06
6,2.5,12,32,5.0,6.20881716410319e-07,125,201326592,3.982567438216443e-07,8.435066889989936e-07
6,2.5,12,32,5.5,5.463759104410807e-08,11,201326592,2.211144241154805e-09,1.0706403784706134e-07
6,2.5,12,48,4.0,1.811981201171875e-05,608,33554432,1.4927465901872383e-05,2.131215812156512e-05
6,2.5,12,48,4.5,3.300607204437256e-06,443,134217728,2.6064556808987232e-06,3.994758727975789e-06
